Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
1019,Veronica Mars,2013,8.3,"69,649","Crime, Drama, Mystery",44 ,Series,Moderate,Mild,Mild,Moderate,Moderate
1020,Bates Motel,2013,8.1,"102,066","Drama, Horror, Mystery",45 ,Series,Moderate,Severe,Moderate,Moderate,Severe
1021,Love on the Spectrum,2013,8.6,"4,403","Documentary, Reality-TV, Romance",45 ,Series,No Rate,No Rate,No Rate,No Rate,No Rate
1022,Binsenjo,2013,8.5,"10,279","Comedy, Crime, Romance",80 ,Series,None,Severe,Mild,Mild,Severe
1023,Crazy Rich Asians,2018,6.9,"156,523","Comedy, Drama, Romance",120 ,Film,Mild,None,Mild,Mild,None
1024,Reservoir Dogs,1992,8.3,"960,882","Crime, Drama, Thriller",99 ,Film,Mild,Severe,Severe,Mild,Moderate
1025,Almas Not Normal,1992,8.0,632,Comedy,28 ,Series,No Rate,No Rate,No Rate,No Rate,No Rate
1026,I Care a Lot,2020,6.3,"115,825","Comedy, Crime, Thriller",118 ,Film,Mild,Mild,Severe,Mild,Mild
1027,Zombieland,2009,7.6,"543,896","Adventure, Comedy, Fantasy",88 ,Film,Mild,Severe,Moderate,Moderate,Moderate
1028,The Empty Man,2020,6.1,"19,531","Horror, Mystery, Thriller",137 ,Film,Moderate,Severe,Moderate,Moderate,Moderate
1029,VHS,2012,5.8,"59,654","Horror, Thriller",116 ,Film,Severe,Severe,Severe,Moderate,Severe
1030,Monster Hunter,2020,5.3,"47,782","Action, Adventure, Fantasy",103 ,Film,None,Moderate,Mild,None,Moderate
1031,Motherless Brooklyn,2019,6.8,"51,085","Crime, Drama, Mystery",144 ,Film,None,Moderate,Severe,Moderate,Mild
1032,Her,2013,8.0,"569,643","Drama, Romance, Sci-Fi",126 ,Film,Moderate,None,Severe,Mild,None
1033,Captain America Civil War,2016,7.8,"711,887","Action, Adventure, Sci-Fi",147 ,Film,None,Moderate,Mild,Mild,Moderate
1034,Everybody Loves Raymond,2016,7.1,"66,871",Comedy,22 ,Series,Mild,Mild,Mild,Mild,None
1035,Bombshell,2019,6.8,"103,589","Biography, Drama",109 ,Film,Mild,None,Moderate,None,Mild
1036,Pirates of the Caribbean Dead Men Tell No Tales,2017,6.5,"281,909","Action, Adventure, Fantasy",129 ,Film,Mild,Moderate,Mild,Mild,Moderate
1037,The Closer,2017,7.6,"24,259","Crime, Drama, Mystery",46 ,Series,Moderate,Moderate,Moderate,Moderate,Mild
